SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.42,0,0,-0.42,-0.224,-0.342,0,0,0,0,0,-0.342,-0.224,-0.342,0,-0.342,-0.224,-0.342,0,0
-0.285,0,-0.415,0,-0.181,-0.457,-0.181,0,-0.181,-0.285,0,-0.359,-0.181,0,-0.359,-0.181,0,-0.181,-0.181,0
-0.24,0,0,-0.363,-0.24,0,-0.24,-0.24,-0.24,-0.363,0,0,-0.363,-0.24,-0.24,-0.363,-0.24,-0.24,0,0
-0.213,0,-0.435,-0.46,0,-0.213,-0.213,0,-0.131,-0.37,0,-0.276,0,-0.131,-0.213,-0.406,-0.131,-0.131,0,0
0,0,0,0,-0.447,-0.447,-0.314,0,0,-0.314,0,0,-0.314,-0.314,-0.314,-0.447,0,0,0,0
-0.292,0,-0.186,-0.464,0,-0.332,-0.244,0,-0.113,-0.186,0,-0.186,-0.244,-0.186,-0.397,-0.332,-0.186,0,0,-0.186
-0.299,0,-0.299,0,-0.431,0,0,-0.299,0,0,0,-0.299,-0.5,-0.299,-0.299,0,-0.299,0,0,0
-0.277,-0.24,-0.09,-0.24,-0.199,-0.09,-0.09,-0.09,-0.24,-0.277,-0.09,-0.24,-0.24,-0.15,-0.24,-0.338,-0.24,-0.309,-0.09,-0.309
-0.216,0,-0.216,-0.464,0,-0.216,-0.133,-0.133,-0.216,-0.332,-0.133,0,-0.28,-0.332,-0.133,-0.411,0,-0.28,0,0
0,0,-0.224,-0.342,0,0,0,-0.42,0,-0.473,0,0,-0.224,-0.342,-0.342,-0.42,0,0,0,-0.224
-0.237,-0.181,-0.11,-0.181,-0.11,-0.237,-0.11,-0.11,-0.11,-0.237,-0.11,-0.237,-0.415,-0.181,-0.359,-0.325,-0.237,-0.237,-0.11,-0.181
-0.309,-0.09,-0.15,-0.386,-0.15,-0.277,-0.15,-0.15,-0.24,-0.309,-0.09,-0.15,-0.24,-0.277,-0.309,-0.24,-0.199,-0.15,-0.09,-0.09
0,-0.255,0,-0.326,-0.16,-0.326,0,-0.16,0,-0.255,-0.255,-0.255,-0.255,-0.381,-0.255,-0.255,-0.16,-0.326,0,-0.16
-0.216,0,-0.216,-0.216,-0.216,0,0,0,-0.216,-0.411,0,-0.411,-0.216,-0.332,0,-0.411,-0.411,0,0,0
0,-0.363,0,0,-0.363,0,-0.363,-0.24,-0.24,-0.24,0,-0.24,-0.24,-0.24,-0.24,-0.363,0,0,0,-0.363
