,Instability_index,y
Neg_2601,38.34533333333333,0
Neg_2888,39.70795454545455,0
Neg_1121,81.3111111111111,0
Neg_2688,11.332558139534882,0
Neg_1493,9.141666666666667,0
Neg_1272,57.270270270270274,0
Neg_1242,29.92,0
Neg_1292,50.67741935483871,0
Neg_2398,8.499999999999998,0
Neg_1990,42.00625,0
Neg_2241,30.657894736842103,0
Neg_508,56.776860465116265,0
Neg_307,38.72020202020201,0
Neg_2448,20.66037735849057,0
Neg_600,60.03666666666663,0
Neg_601,61.55806451612901,0
Neg_1217,14.950574712643675,0
Neg_839,14.489999999999997,0
Neg_682,5.994444444444445,0
Neg_2187,18.265625,0
Neg_2821,56.30887499999999,0
Neg_2789,72.77142857142857,0
Neg_169,56.303125,0
Neg_320,65.00624999999998,0
Neg_2889,36.820930232558126,0
Neg_17,97.134375,0
Neg_1714,80.7804347826087,0
Neg_2605,30.327848101265825,0
Neg_1527,55.075,0
Neg_83,163.77142857142854,0
Neg_2246,20.160204081632653,0
Neg_114,91.41,0
Neg_1808,42.12031249999999,0
Neg_958,113.34375,0
Neg_2093,24.675862068965515,0
Neg_1561,67.73281249999998,0
Neg_1870,14.126315789473685,0
Neg_1335,122.54117647058824,0
Neg_1574,76.57563829787233,0
Neg_2188,90.08289473684208,0
Neg_608,37.409523809523805,0
Neg_1240,47.91818181818182,0
Neg_2628,32.467,0
Neg_1855,28.819047619047623,0
Neg_1793,41.49729729729731,0
Neg_2263,54.35555555555555,0
Neg_2400,23.63108108108108,0
Neg_1583,20.49615384615385,0
Neg_410,88.51538461538462,0
Neg_2849,104.875,0
Neg_1389,38.57383838383838,0
Neg_130,37.74555555555555,0
Neg_2784,33.07021276595744,0
Neg_2759,65.884,0
Neg_2148,62.50357142857143,0
Neg_2886,60.0060714285714,0
Neg_903,44.28450704225352,0
Neg_2844,82.60615384615384,0
Neg_1071,43.68269230769231,0
Neg_2491,22.004054054054052,0
Neg_2731,50.67894736842103,0
Neg_1497,56.02258064516128,0
Neg_2096,46.5093023255814,0
Neg_2234,105.43614457831328,0
Neg_263,39.56086956521738,0
Neg_2409,72.19285714285714,0
Neg_171,45.26913580246912,0
Neg_2185,44.4094736842105,0
Neg_1630,58.16363636363636,0
Neg_239,75.07611940298506,0
Neg_933,63.37812500000001,0
Neg_2276,69.39882352941174,0
Neg_2707,6.494166666666665,0
Neg_1971,71.44285714285715,0
Neg_293,50.83333333333333,0
Neg_766,34.47882352941176,0
Neg_1208,50.995857142857126,0
Neg_1076,56.22162162162163,0
Neg_2860,45.205714285714286,0
Neg_2048,57.31666666666667,0
Neg_837,45.90000000000001,0
