,Eisenberg,y
Neg_72,0.0885514474434455,0
Neg_1147,0.2019249116167093,0
Neg_2437,0.27167626493426,0
Neg_1770,0.0601868602539713,0
Neg_177,0.15745012689605,0
Neg_978,0.1083272092455479,0
Neg_724,0.398612719130436,0
Neg_1766,0.1500971215278791,0
Neg_868,0.0353627490743861,0
Neg_1825,0.0450760585626532,0
Neg_2020,0.1127785863939472,0
Neg_1628,0.2851978243115837,0
Neg_892,0.0559870626727751,0
Neg_2692,0.3408628062122394,0
Neg_512,0.1370377252844591,0
Neg_2128,0.0330649473653569,0
Neg_1647,0.3081294510176299,0
Neg_2419,0.3772471124195768,0
Neg_2659,0.1617884136556548,0
Neg_1214,0.0846622911898199,0
Neg_411,0.133957276609694,0
Neg_2321,0.0608852834636087,0
Neg_1384,0.2237891999281265,0
Neg_1489,0.0052982290075983,0
Neg_2666,0.0681023613965218,0
Neg_1905,0.0558217224307757,0
Neg_55,0.181352505180364,0
Neg_1178,0.1824579291252167,0
Neg_2369,0.1447357715081683,0
Neg_1,0.122338038388309,0
Neg_1999,0.2299685030545435,0
Neg_1883,0.0432471573775508,0
Neg_1643,0.2967774512053271,0
Neg_2885,0.3704771270841223,0
Neg_1786,0.0740947545623947,0
Neg_1933,0.1028432206168107,0
Neg_814,0.1613703007758582,0
Neg_1593,0.2039770496320462,0
Neg_1298,0.0828058889526326,0
Neg_285,0.102118765673013,0
Neg_2792,0.0924958482836725,0
Neg_2154,0.0625625398327847,0
Neg_1689,0.0247425091909673,0
Neg_603,0.1806681679116789,0
Neg_1021,0.2668056024212646,0
Neg_1820,0.1685104317007493,0
Neg_222,0.0714248074580997,0
Neg_256,0.1493267864478354,0
Neg_704,0.1278225966933544,0
Neg_144,0.0474333224498065,0
Neg_2067,0.0428932108389189,0
Neg_1406,0.1520643811885971,0
Neg_2616,0.1145198480467816,0
Neg_648,0.1401184973926955,0
Neg_2774,0.0823356227737947,0
Neg_292,0.0947399787073817,0
Neg_2667,0.1381702350213158,0
Neg_257,0.1767249485539583,0
Neg_1768,0.1075704739057181,0
Neg_2249,0.1100700670392801,0
Neg_779,0.0576178015551627,0
Neg_2513,0.092192221954798,0
Neg_2425,0.0810321388173437,0
Neg_2272,0.1505883043498656,0
Neg_361,0.1352429575251512,0
Neg_1745,0.3867295261484711,0
Neg_2902,0.0928385212408491,0
Neg_808,0.1077051981852747,0
