,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
Neg_448,0.6175626865671642,0.0017878787878787,-0.051616923076923,0.1527874999999999,0.2014634920634921,2.519271641791045,2.655272727272728,3.221132307692309,3.366114062500001,3.0114920634920628,0.5776746268656714,1.2816287878787882,1.3362769230769234,1.560425,1.1032,200.04369701492536,194.02794999999995,194.4332984615384,195.5783140624999,195.91866031746028,84.73205671641792,82.47210606060605,82.42978,82.27968906249998,83.49831111111111,38.86890597014926,34.47247727272728,34.10833384615385,34.3065046875,35.04866031746031,0
Neg_2831,0.7980977528089888,0.1399534090909091,0.1814379310344827,0.2931988372093023,0.2024317647058824,4.624985393258426,5.232623863636364,5.749024137931034,4.922431395348835,5.691405882352941,1.0072898876404492,1.849253409090909,2.0288264367816096,1.6985779069767435,1.682523529411764,195.9279168539325,187.2245170454545,188.064624137931,187.8224697674419,186.9150717647059,74.57608988764045,72.34743977272726,71.86183678160917,72.04322325581396,71.80949647058826,31.416643820224717,28.47241818181817,27.607886206896552,27.881039534883715,27.99411176470588,0
Neg_358,0.6205527272727277,-0.0861537037037037,-0.0432245283018868,0.1061788461538462,-0.0556843137254901,1.837007272727272,2.6310962962962967,2.437860377358491,2.930036538461538,2.469892156862745,-0.0051272727272727,1.3360092592592592,1.3266094339622638,0.9596865384615386,1.1110372549019607,192.9091909090908,185.764874074074,188.1938415094339,185.3539288461538,185.3089176470588,87.23817454545457,82.7491,84.06739622641511,82.31912692307694,82.68659803921567,43.61569818181818,37.1693962962963,36.985832075471706,36.27282884615385,37.65036470588236,0
Neg_2287,0.6755574074074076,0.1542056603773585,0.1450288461538462,0.2273509803921568,0.1349379999999999,0.4248611111111116,1.8244886792452824,1.8262250000000009,0.5526156862745097,1.1521199999999998,-0.3382648148148146,0.7036547169811325,0.4582076923076918,0.1384372549019606,0.4839539999999998,209.78743703703705,201.9825943396226,202.34745384615383,206.0649725490195,203.28747,89.64177592592593,86.49550943396227,88.52755576923076,89.73835294117646,88.95273399999998,40.7312388888889,36.99810377358492,37.70785961538461,38.92371568627453,37.75401,0
Neg_2597,0.8440277777777778,0.08254,0.1006970588235293,0.2264757575757576,0.1107218749999999,3.652263888888888,4.755642857142857,5.332514705882354,3.7745,4.275556249999999,1.1292138888888887,2.3422971428571424,1.9486647058823527,1.4296606060606056,1.9882125,202.4096444444445,193.02388,192.47505,199.0374060606061,193.69714375000004,88.79057777777777,83.08631142857142,84.15500294117648,85.58320606060605,84.18382187499998,42.09162777777778,35.82020857142858,36.35957647058824,38.719266666666655,36.81311875000001,0
Neg_2648,0.7858434343434344,0.0834081632653061,0.0818835051546391,0.0415979166666666,0.0591168421052631,3.602517171717172,4.6833755102040815,4.460647422680411,4.485407291666663,4.927021052631578,0.9297515151515148,1.9469918367346928,2.00911855670103,1.7738114583333335,1.9990031578947365,201.20688383838385,192.46308469387736,192.5330185567009,191.767696875,191.86544315789467,84.4488696969697,81.91316122448978,80.55280721649484,80.8516625,80.24948842105266,39.11337676767676,33.296107142857146,33.82540412371132,33.78375208333332,33.29768315789474,0
Neg_152,0.6287641791044779,-0.031730303030303,-0.0553738461538461,-0.0111437499999999,-0.2087063492063491,-0.4040671641791048,1.5229090909090908,1.1912723076923075,1.3280765625,1.5746698412698408,-0.7166208955223878,0.8516606060606063,0.6612953846153845,0.3943484375,1.1128444444444443,223.30209402985076,213.3501181818181,214.79532923076923,216.0091859375,214.5744476190476,99.3409552238806,95.0976106060606,95.2065907692308,96.84978124999996,94.1035015873016,47.522214925373135,40.98348787878786,42.49216153846154,42.59354843749998,41.198004761904734,0
Neg_2086,1.154891891891892,0.2771027777777777,0.0962571428571428,0.3535470588235293,0.3545363636363636,6.105883783783784,7.067238888888889,8.029942857142856,8.558764705882352,9.17819090909091,0.864451351351351,2.607186111111111,3.4336771428571424,2.8191264705882344,2.8912515151515144,211.2186243243243,203.0379055555556,199.80175142857144,198.5406676470588,199.53251818181812,79.45706216216216,74.93837777777779,77.44832857142856,76.02031470588237,80.5388393939394,35.90090270270271,28.15022222222221,29.22770857142857,27.31799117647058,28.715478787878784,0
Neg_966,0.4341177777777778,0.0096295454545454,0.0406999999999999,-0.1379309523809523,-0.0078536585365853,1.689248888888888,1.5285318181818175,2.185853488372093,1.827273809523809,2.6104682926829264,-0.0294755555555555,0.6626318181818183,0.9193302325581392,1.118702380952381,0.6565219512195122,220.3245377777777,215.0307227272726,214.9126860465116,213.2189261904761,211.0924024390244,87.0826777777778,86.58128409090908,86.76855348837208,85.35895000000001,84.4758243902439,38.33808222222223,34.4369159090909,34.3678488372093,34.851733333333335,34.78705609756097,0
Neg_2081,0.7711134146341464,0.2494246913580248,0.1040662499999999,0.1423708860759493,0.1903602564102564,4.474693902439025,5.334354320987655,4.983010000000002,5.0427924050632935,4.911958974358972,1.4436365853658537,2.183588888888888,2.0046612500000003,2.26276329113924,2.3471294871794863,196.21466463414632,184.5242802469135,184.91177125,182.44110632911384,184.50890384615383,79.81023292682922,76.01924938271604,76.40112375,74.81392151898733,75.69002692307696,36.09468292682925,32.452720987654324,32.29848874999999,31.87803797468353,31.58439871794872,0
Neg_2579,0.6762914893617022,0.0186826086956521,0.0328133333333333,0.0037386363636363,-0.1076860465116278,1.6785191489361693,2.6849413043478263,2.972295555555555,2.11438409090909,3.0817953488372094,0.0241978723404254,1.1886652173913042,1.427162222222222,0.8302727272727272,1.291346511627907,175.71018723404254,168.89068043478258,166.40413999999996,167.98691363636365,169.5908627906976,80.13318085106383,75.11355217391304,72.97429555555554,74.86146136363635,75.71824418604649,39.50777021276596,33.90236086956522,31.98567333333333,33.95566590909091,34.2395023255814,0
Neg_542,1.109636046511628,0.4516823529411765,0.4439988095238097,0.3266265060240962,0.3833621951219513,7.633026744186046,8.036048235294116,8.122163095238093,8.388712048192774,8.152675609756097,2.1085244186046506,3.5117435294117665,3.2977964285714285,3.716372289156628,3.454803658536586,182.03769418604656,173.85404235294115,171.29686309523805,170.3348927710843,169.75734878048775,69.99303139534882,68.91026235294115,67.44549642857139,66.5087710843373,68.1341243902439,31.331675581395334,26.396674117647063,26.801896428571425,26.172300000000007,26.988917073170736,0
Neg_270,0.8652351351351355,0.2509054794520548,0.0541763888888889,0.2177718309859154,0.1392828571428571,3.54663918918919,4.683982191780823,4.798165277777779,3.9057999999999993,4.468274285714286,1.0815472972972977,1.812353424657534,2.181234722222221,1.537266197183098,1.7421757142857142,194.53569189189187,186.43700273972607,187.5382555555556,186.6411577464789,187.66291285714289,85.21374729729729,81.4707205479452,80.33812638888887,82.02038873239437,82.29106999999999,41.14783378378378,35.766510958904114,34.200981944444464,36.46294084507042,35.91639428571428,0
Neg_447,1.1270857142857142,0.3522000000000001,0.2321684210526315,0.3280555555555555,0.3338764705882353,6.25005238095238,6.802949999999998,5.675415789473685,6.288499999999999,5.764582352941176,2.090152380952381,3.208165,2.786715789473684,2.791494444444444,2.531905882352941,169.52965238095237,165.57712999999998,165.44289473684216,164.2848111111111,165.17718823529415,74.9435238095238,72.966225,72.90253157894736,73.01825555555557,71.70117058823527,36.00090476190476,31.285184999999995,32.491121052631584,32.10412777777778,32.0396294117647,0
