,Aliphatic_Index,y
Neg_1241,55.09090909090909,0
Neg_1265,61.92982456140351,0
Neg_1145,79.38144329896906,0
Neg_364,103.45679012345678,0
Neg_2428,96.02739726027396,0
Neg_2873,104.875,0
Neg_2762,63.63636363636364,0
Neg_1932,54.63414634146341,0
Neg_218,97.5,0
Neg_1471,76.37681159420289,0
Neg_211,59.37499999999999,0
Neg_88,100.9375,0
Neg_1800,107.6315789473684,0
Neg_1995,107.89473684210525,0
Neg_2231,91.7391304347826,0
Neg_1090,102.94117647058825,0
Neg_1457,130.6,0
Neg_795,31.2,0
Neg_1614,67.55102040816327,0
Neg_732,75.80645161290322,0
Neg_2025,63.6231884057971,0
Neg_2088,118.78048780487804,0
Neg_2527,88.0722891566265,0
Neg_2021,49.38461538461539,0
Neg_2570,63.66666666666666,0
Neg_215,80.625,0
Neg_2516,81.84210526315789,0
Neg_1712,93.5897435897436,0
Neg_2010,125.0,0
Neg_1285,78.0,0
Neg_2834,82.75,0
Neg_2013,146.42857142857142,0
Neg_945,106.47058823529412,0
Neg_1787,68.91304347826087,0
Neg_935,87.66666666666666,0
Neg_2099,100.6896551724138,0
Neg_2179,80.00000000000001,0
Neg_2726,44.54545454545456,0
Neg_1484,111.44927536231884,0
Neg_2381,126.23529411764706,0
Neg_1458,66.15384615384616,0
Neg_216,82.63888888888889,0
Neg_2725,68.33333333333333,0
Neg_406,67.24137931034483,0
Neg_1363,97.6923076923077,0
Neg_1311,53.63636363636364,0
Neg_1149,30.625,0
Neg_1218,59.99999999999999,0
Neg_1597,142.6153846153846,0
Neg_2745,78.0,0
Neg_1477,61.09375,0
Neg_2803,94.38596491228068,0
Neg_104,94.33333333333334,0
Neg_1900,66.57894736842104,0
Neg_2586,143.38235294117646,0
Neg_2050,167.46478873239437,0
Neg_1069,56.84210526315789,0
Neg_336,108.33333333333334,0
Neg_2260,95.3012048192771,0
Neg_1733,56.83333333333333,0
Neg_1555,108.84615384615384,0
Neg_2329,85.51020408163265,0
Neg_1878,80.0,0
Neg_1893,76.04651162790697,0
Neg_1716,64.02298850574712,0
Neg_2322,56.451612903225794,0
Neg_101,57.3170731707317,0
Neg_16,78.36065573770492,0
Neg_31,114.9,0
Neg_240,74.41176470588235,0
Neg_1117,51.31147540983607,0
Neg_2262,62.49999999999999,0
Neg_2861,40.375,0
Neg_1225,113.2258064516129,0
Neg_261,91.15789473684212,0
Neg_609,92.6190476190476,0
Neg_1352,123.55555555555554,0
Neg_733,125.23809523809524,0
Neg_2593,58.333333333333336,0
Neg_2259,52.0,0
Neg_1785,69.44444444444444,0
Neg_847,132.45283018867926,0
Neg_684,69.8507462686567,0
Neg_1411,60.0,0
Neg_680,45.33333333333333,0
Neg_502,61.66666666666666,0
Neg_1097,98.625,0
Neg_1826,67.38095238095237,0
Neg_702,28.37209302325581,0
Neg_1626,88.66666666666666,0
Neg_2358,84.8,0
Neg_1026,97.4074074074074,0
Neg_82,101.5625,0
Neg_509,110.0,0
Neg_1235,124.17582417582418,0
Neg_2118,77.31707317073172,0
Neg_1303,48.11594202898551,0
Neg_72,86.34615384615384,0
Neg_1147,87.32558139534882,0
Neg_2437,105.77464788732397,0
Neg_1770,83.28571428571428,0
Neg_177,72.33766233766234,0
