,Levitt_alpha,y
Neg_200,0.0298792212367876,0
Neg_1730,0.0427482101377972,0
Neg_876,0.0288926731919574,0
Neg_326,0.0295221452304016,0
Neg_1436,0.0264764246550702,0
Neg_727,0.0747962131377842,0
Neg_1831,0.0489512953689207,0
Neg_900,0.1176151461665583,0
Neg_1637,0.044909756664986,0
Neg_2635,0.0632691032579942,0
Neg_2454,0.0523489204679289,0
Neg_1216,0.0434132964688371,0
Neg_2191,0.0324848342293346,0
Neg_1275,0.0534722788404332,0
Neg_2151,0.062689829306857,0
Neg_1402,0.0889221080131118,0
Neg_717,0.0542525525277679,0
Neg_1862,0.0233987563807124,0
Neg_158,0.0594181183611107,0
Neg_1740,0.0306773423465859,0
Neg_1424,0.0152591177894013,0
Neg_943,0.0733816523567982,0
Neg_1688,0.0506527515599786,0
Neg_148,0.0315072775403585,0
Neg_2796,0.0402211018584706,0
Neg_1887,0.023017374890104,0
Neg_2811,0.0618799561904314,0
Neg_859,0.0499659349035799,0
Neg_2155,0.0257827567010155,0
Neg_2045,0.0118235976116136,0
Neg_1104,0.0369559294640944,0
Neg_2638,0.0325666631245278,0
Neg_962,0.0330106615219502,0
