,Kytedoolittle,y
Neg_2893,0.1857315321776226,0
Neg_415,0.1801979482906983,0
Neg_2440,0.2319047028307394,0
Neg_1947,0.1335818262466564,0
Neg_2296,0.0432210483158492,0
Neg_1491,0.0501291742765848,0
Neg_1592,0.1641420134620444,0
Neg_833,0.023870022761413,0
Neg_2254,0.3158616175910764,0
Neg_2786,0.2326813181850244,0
Neg_1307,0.1525978057408085,0
Neg_1022,0.1598135379587167,0
Neg_2289,0.1877711263980939,0
Neg_2564,0.0324880604373852,0
Neg_1131,0.1350556363931273,0
Neg_2814,0.0340741694528721,0
Neg_2346,0.0608822865296473,0
Neg_2538,0.2069299254237812,0
Neg_503,0.2677530446493333,0
Neg_614,0.1540474547991026,0
Neg_2227,0.1336605361192281,0
Neg_1977,0.0569944793750877,0
Neg_1151,0.1115017407337918,0
Neg_2315,0.077768757128006,0
Neg_1180,0.0848592826226538,0
Neg_308,0.1315132416612802,0
Neg_1426,0.0372740353263007,0
Neg_12,0.0432547307388765,0
Neg_506,0.1911579461258991,0
Neg_136,0.1007031150025973,0
Neg_378,0.1238106597371094,0
Neg_2058,0.1410946309466818,0
Neg_2336,0.0949399106806517,0
Neg_2220,0.0436508269565329,0
Neg_262,0.0307771965287385,0
Neg_1888,0.2484804383194226,0
Neg_2552,0.057312161327117,0
Neg_1340,0.153460015167595,0
Neg_1753,0.2914375301700302,0
Neg_941,0.1266438559854918,0
Neg_689,0.0461661125019529,0
Neg_403,0.0615522848860045,0
Neg_2524,0.0517471910628237,0
Neg_1006,0.0662146112863363,0
Neg_89,0.2417059758890711,0
Neg_1956,0.2869895533138774,0
Neg_2723,0.0663829644208456,0
Neg_34,0.1140194567136941,0
Neg_757,0.2228435519964103,0
Neg_1170,0.1321264155568873,0
Neg_1405,0.1048651078480688,0
Neg_1634,0.1616469487203011,0
Neg_835,0.1007089633307752,0
Neg_1809,0.0379896485417901,0
Neg_296,0.0993312150576031,0
Neg_1989,0.0733624147857731,0
Neg_636,0.146108862883856,0
Neg_1350,0.178337854416481,0
Neg_160,0.130488241400726,0
Neg_1524,0.1214804299560454,0
Neg_836,0.045293963896265,0
Neg_1885,0.0782272514387323,0
Neg_1723,0.1502976259115347,0
Neg_1139,0.0544730085732825,0
Neg_531,0.1321141403606077,0
Neg_131,0.0587858650587105,0
Neg_226,0.1264969443646377,0
Neg_2031,0.0283949478162433,0
Neg_1050,0.172203927181588,0
Neg_2215,0.2528186143513585,0
Neg_1008,0.2591205783492655,0
Neg_755,0.288154530049128,0
Neg_1309,0.4157286723941694,0
Neg_1348,0.0594782568828922,0
Neg_2829,0.152154055105782,0
Neg_1281,0.1023165426802361,0
Neg_2879,0.0900365209901776,0
Neg_2182,0.0331858078155952,0
Neg_513,0.304602847210156,0
Neg_2222,0.0631522557061503,0
Neg_2348,0.0815555599333414,0
Neg_549,0.2905893861426893,0
Neg_2669,0.2721495128417334,0
Neg_1248,0.1255959042112648,0
Neg_19,0.1129227454897494,0
Neg_1763,0.0299801533638665,0
Neg_2832,0.0688567088313713,0
Neg_1992,0.0753115991579869,0
Neg_2675,0.1277225565641701,0
Neg_203,0.1290262546810264,0
Neg_2314,0.087609874128809,0
Neg_460,0.0809781071660739,0
Neg_248,0.0667549703426034,0
Neg_418,0.124946545049459,0
Neg_1007,0.0140781113963349,0
Neg_2178,0.1467660935275281,0
Neg_537,0.0225658737010164,0
Neg_97,0.074393946307051,0
Neg_1719,0.0820929333849333,0
Neg_1777,0.0977817170439841,0
Neg_771,0.0607702229496021,0
Neg_2070,0.1245745855024377,0
Neg_1418,0.1827186658411931,0
Neg_1167,0.0455327358048881,0
Neg_2477,0.0900444145997868,0
Neg_715,0.1394662189765652,0
Neg_616,0.0897579269369818,0
Neg_558,0.188841326417386,0
Neg_64,0.1880079913943363,0
Neg_1316,0.1460412966361462,0
Neg_1507,0.1464379144991641,0
Neg_1101,0.0993056613139861,0
Neg_1796,0.0787581084094181,0
Neg_1223,0.0440365822384356,0
Neg_538,0.1502121874583548,0
Neg_302,0.1104379865026619,0
Neg_200,0.0691721652709401,0
Neg_1730,0.0960352378521782,0
Neg_876,0.0687846726076412,0
Neg_326,0.2365732137362343,0
Neg_1436,0.0705593623095568,0
Neg_727,0.1115750706182499,0
Neg_1831,0.1319787571316882,0
Neg_900,0.127455750645154,0
Neg_1637,0.0805183724614573,0
Neg_2635,0.1972836836080171,0
Neg_2454,0.1250963910788228,0
Neg_1216,0.1242368200194075,0
Neg_2191,0.1149379200323285,0
Neg_1275,0.1190329337389404,0
Neg_2151,0.0718146782762993,0
Neg_1402,0.4468491506779891,0
Neg_717,0.1195180443504017,0
Neg_1862,0.1003499288058339,0
Neg_158,0.2005988214816899,0
Neg_1740,0.1815411398414243,0
Neg_1424,0.1142012278596684,0
Neg_943,0.3578339871774901,0
Neg_1688,0.0350092326420693,0
Neg_148,0.1515466018348242,0
Neg_2796,0.0212235559783676,0
Neg_1887,0.2153193823631038,0
Neg_2811,0.0588713981576923,0
Neg_859,0.0552577019502383,0
Neg_2155,0.0537069912172198,0
Neg_2045,0.0346115378780163,0
Neg_1104,0.148735774116268,0
Neg_2638,0.0614226500945879,0
Neg_962,0.1084707740784128,0
Neg_2828,0.0581117605943536,0
Neg_1944,0.1115615973684969,0
Neg_523,0.2738412539334423,0
Neg_1319,0.2567948724247859,0
Neg_562,0.0380019069976218,0
Neg_2456,0.1280142660200482,0
Neg_1500,0.1649570524038731,0
Neg_1913,0.1409193407962806,0
Neg_286,0.2105251106897964,0
Neg_2871,0.1243843051003117,0
Neg_456,0.045178911982355,0
Neg_984,0.2328064858953316,0
Neg_1837,0.1665879861490849,0
Neg_2617,0.032234839075541,0
Neg_139,0.2621843660028672,0
Neg_1815,0.16984520643452,0
Neg_1157,0.167288376860213,0
Neg_1317,0.1367832649117688,0
Neg_2405,0.164982932457418,0
Neg_45,0.0624256618947026,0
Neg_1797,0.1052297443874261,0
Neg_2769,0.0961740551670771,0
Neg_1390,0.1191564407233047,0
Neg_1018,0.0563391928405966,0
Neg_602,0.0642266660140789,0
Neg_182,0.0415928411319263,0
