,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_23,0.0694270867050017,0.5074246113570575,0.2830554797794802,0.0864581819123875,0.2582213702870009,0.1047523508926463,0.5209965262536732,0.6947906117582369,0.4450346942544363,0.0639115752619429,0.0531533521390302,0.1277419177471253,0.4640712068969012,0.6763585926461974,0.4686010315080924,0.4728840516891277,0.7179291598553177,0.4637324981946303,-0.0395335044454695,0.0829172845372979,0.3524715779509402,0.3608527355710899,0.2451012960502241,0.1637298515223292,0
peptide_nm_24,-0.4598390404828509,-0.2299295253058583,0.1320520012580651,-0.3643954364305482,0.2323835971715888,-0.1666768613442292,0.0539949220546524,0.1715376091981338,-0.1659710315524981,-0.0075819135472606,-0.0277255863508543,0.1024162632698875,0.0548058776906813,0.0995813087976842,-0.245000402035448,-0.0377349304681493,0.0183332339874164,-0.1850567095213887,-0.1869131211304848,-0.1220177603215405,0.10010172202215,0.0227536620980357,0.2823170027153501,-0.0886757691887972,0
peptide_nm_25,-0.3155674957901169,-0.5246573105855379,0.611989707015345,0.2591522717819487,0.3636094867591534,0.5327340901861961,-0.2261539460540842,0.0104149540595291,1.0008925129766684,-1.536941742948612,0.4157359049802132,2.474094358142032,-0.0766394431234707,0.124780316344464,1.1251593783383302,-0.2965359573315445,-0.1006738700955138,0.9761010648651468,-0.0277626689721112,-0.0114451588523925,-0.3309248306700488,-0.118955456698827,-0.2047489745219248,0.2323068923681322,0
peptide_nm_26,-0.43379266737917,0.1107168792448447,-0.2220669434003073,-0.1233651658219196,-0.1949135695236229,-0.0152024885393284,-0.3680085642135878,-0.2924223437722349,0.2495915176852839,0.2772126456755578,-0.0956378891302895,0.003029090880515,-0.2263424228688365,-0.2968974350138414,0.2856780353937388,-0.344208607111136,-0.2459917439147109,0.1810929965860012,0.1786042869468292,0.0447023438051676,0.2636675412713299,-0.0146151920373425,-0.4701857094254113,0.1814050143820781,0
peptide_nm_27,-0.3377660412375893,0.0707739851045965,-0.0353916037345438,0.2497129806163113,0.3944840677579056,0.0350498575340156,-0.1367012537586134,0.462331393107755,-0.230285555168568,0.1574917318884509,0.0805662635674631,0.0745940752580103,-0.1638369556285404,0.4563446937064221,-0.3081022151631062,-0.3061612173639022,0.5185854231582191,-0.4900817847878427,0.1150694958572019,-0.1182723669168688,-0.6975925556760217,-0.1856541209478988,0.1814823373838913,0.1255223679396074,0
peptide_nm_28,0.0172944663992603,-0.2922204033160228,-0.2181863926581352,-0.3437170322118226,0.1248310232193977,-0.1100474664187319,0.0336122727604829,0.3407489510209326,-0.0582984134177212,0.0758005697731382,-0.0261591171122076,0.0774245225286428,-0.0227092594507047,0.3931389779110238,-0.0956270029980357,-0.1547631795546451,0.2952629449048647,-0.4019304289041636,-0.2499738145219439,-0.0256800393910417,-0.4590144223887689,-0.3211680651230971,-0.0384096905270861,-0.0633581759007838,0
peptide_nm_29,0.2309114986290612,0.2062167098737501,0.2467001236615078,0.3725987936218266,0.2942073077487712,0.2211103227227136,-0.2325584702870466,0.0272883079418457,0.0335631853594713,-0.0070690563719464,-0.1546595617653497,-0.2468106935529933,-0.1384549270964459,0.0644749991384955,-0.0670939729142975,-0.3456364227182939,0.1215415532320918,-0.0273162588472814,-0.0814437409634838,0.0492302143032999,0.0166476772835452,-0.1249990087894885,0.2188745739210813,-0.0789698358593154,0
peptide_nm_30,0.0759680039622826,0.2147189868031143,-0.0106808904350681,0.3304135776793655,0.2664542095862596,-0.0142319267187751,0.2130568477344309,-0.2319635699966424,-0.2034112317837492,0.3276160828294783,0.1576399057766611,0.0191783802927575,0.3116004456850109,-0.2151939862060816,-0.1395027660922419,0.2640470877374495,-0.086193396784603,-0.1184895438659016,0.2329167119930832,0.0618895758510659,0.191411660611644,0.2347397949685776,-0.0729017934517963,-0.3175848935858179,0
peptide_nm_31,0.148979674222192,0.1044571515525151,-0.1382461883322615,0.1288649876218083,-0.0206228132416623,0.1067029544570214,0.0969365469661823,0.0964796511186117,-0.1077025527805369,-0.0485021125609298,-0.1592192551559322,0.1128422444874828,0.118911643051,0.1886608773562148,-0.1078592557267818,-0.0166156619027353,0.1501790578279397,-0.234762025179479,-0.0879891154139835,-0.0631494798435811,0.0513241562499015,0.107186604037953,-0.1836315885762704,0.173138841935049,0
peptide_nm_32,0.2095108088520659,-0.1548649039455179,-0.2471040571085515,0.0534336415462401,0.0099061681877129,-0.3423651380087482,0.1581472455499638,-0.0335493693691202,0.3450290296983923,-0.4837556901080393,-0.1155110051542108,-0.5048027448982949,-0.0435733328320943,-0.1729556497467176,0.4958781794303348,0.1280974246645051,-0.1445854101465407,0.3757205729334721,-0.0060320135495199,-0.0016890054334452,-0.4373671617901811,-0.6723984894878648,-0.3201032218306466,0.9747059440282616,0
