,Charge_density,Charge_phys,Charge_acid,y
peptide_nm_148,-0.0005114227965945,0.0869586429072232,0.0869586429072232,0
peptide_nm_149,0.001039766382043,0.0747116587771958,0.0747116587771958,0
peptide_nm_150,5.107682586488337e-05,0.130476178500192,0.1620642322341386,0
peptide_nm_151,-4.938615101032935e-05,0.0661164368467264,0.0661164368467264,0
peptide_nm_152,0.0017893498755156,0.0292444446101277,0.0292444446101277,0
peptide_nm_153,0.00098264574589,0.0389809416185312,0.0235875960914253,0
peptide_nm_154,-1.5073331759007572e-06,0.1028306477793341,0.1028306477793341,0
peptide_nm_155,0.0007079144839303,0.0771229858345004,0.0771229858345004,0
peptide_nm_156,-1.006927662316739e-06,0.109423083668023,0.109423083668023,0
peptide_nm_157,0.0008146329715089,0.0781377338291193,0.0781377338291193,0
peptide_nm_158,-0.0015008129152855,0.1511436138442236,0.1511436138442236,0
peptide_nm_159,-5.659309564233164e-07,0.0618248943505755,0.0618248943505755,0
peptide_nm_160,0.0003188017471614,0.064522706783356,0.0598786703131255,0
peptide_nm_161,-0.0057651843106388,0.2187408060869717,0.2187408060869717,0
peptide_nm_162,0.0012720816105087,0.0281790671485639,0.0175322987842584,0
peptide_nm_163,-0.0010290605826812,0.1624612476657717,0.1120690286818742,0
peptide_nm_164,0.0009338091483001,0.1026185476038431,0.1371018070945705,0
peptide_nm_165,-0.0014975588967559,0.0639295332654888,0.0639295332654888,0
peptide_nm_166,-0.0008823496289289,0.0822497536359598,0.0822497536359598,0
peptide_nm_167,0.0009949267887382,0.1077505341523016,0.1403184742823545,0
peptide_nm_168,-4.451333158268912e-05,0.0699651351667275,0.0699651351667275,0
peptide_nm_169,0.0005055309846468,0.1034573794538752,0.1034573794538752,0
peptide_nm_170,0.0007608015506005,0.1168704744884616,0.1168704744884616,0
peptide_nm_171,-0.0003510294091065,0.1245924202648,0.131023855752432,0
peptide_nm_172,-8.986583031533921e-07,0.1350391651091723,0.1350391651091723,0
peptide_nm_173,0.0017953305224169,0.1210600016211591,0.1210600016211591,0
peptide_nm_174,0.0004105968943149,0.0321805876578425,0.0222327692699967,0
peptide_nm_175,-1.538990319750889e-06,0.1095431076570441,0.1095431076570441,0
peptide_nm_176,-0.0007020347430332,0.0898446491096562,0.0718420681359586,0
peptide_nm_177,-0.0001045095887547,0.0947219154009189,0.0947219154009189,0
peptide_nm_178,8.245155970867116e-05,0.0851766805729496,0.1276740738531629,0
peptide_nm_179,0.0016440024355591,0.1698243937651019,0.1698243937651019,0
peptide_nm_180,-0.0009885120680289,0.0601554753973784,0.0441981889394521,0
peptide_nm_181,0.000739619032438,0.0083333333333333,0.0083333333333333,0
peptide_nm_182,-0.0,0.2903508030353862,0.2903508030353862,0
peptide_nm_183,0.0012531947555379,0.0043478260869565,0.0434782608695652,0
peptide_nm_184,-0.000772803880462,0.0418608071066824,0.0418608071066824,0
peptide_nm_185,-0.0010848929616563,0.0660414987161332,0.0960297006493742,0
peptide_nm_186,0.0017124658364495,0.1082531754730548,0.1082531754730548,0
peptide_nm_187,0.0006304555611117,0.0204291973725801,0.0204291973725801,0
peptide_nm_188,-0.0,0.1938104315230223,0.1938104315230223,0
peptide_nm_189,-0.0002243418817265,0.0590776352514838,0.0590776352514838,0
peptide_nm_190,0.0020191808703505,0.0248068825238472,0.0248068825238472,0
peptide_nm_191,0.0006045155710388,0.0357142857142856,0.0357142857142856,0
peptide_nm_192,0.0046623369218728,0.1693756024454009,0.1693756024454009,0
peptide_nm_193,0.0013359531113205,0.1336640388962761,0.1336640388962761,0
peptide_nm_194,-0.0024016374072249,0.1028753463236811,0.1028753463236811,0
peptide_nm_195,0.0003087677695851,0.0438021631292394,0.0438021631292394,0
peptide_nm_196,-0.0007548147652801,0.0496995950370956,0.1496995950370956,0
peptide_nm_197,0.0015369417044365,0.1419735738968412,0.1510056933887635,0
peptide_nm_198,0.0012031416705344,0.1626438536092208,0.1626438536092208,0
peptide_nm_199,-0.0012117290902846,0.1914723704939569,0.1521631136190987,0
peptide_nm_200,-7.590132827324479e-07,0.184077754585223,0.184077754585223,0
peptide_nm_201,0.0022667247529065,0.0883083158040898,0.0883083158040898,0
peptide_nm_202,0.0008430390032502,0.0,0.0,0
peptide_nm_203,0.0003261868851279,0.0561624919230662,0.0561624919230662,0
peptide_nm_204,0.0012944417436396,0.1079285142965233,0.1079285142965233,0
peptide_nm_205,0.0008957245635753,0.1290798882092955,0.1290798882092955,0
peptide_nm_206,-0.0006735228876789,0.0931979859142548,0.0931979859142548,0
peptide_nm_207,0.0014101098053263,0.047173038545412,0.0664924390828658,0
peptide_nm_208,0.0006639186516524,0.0488600204750955,0.0488600204750955,0
peptide_nm_209,0.001385327264641,0.0358700207971511,0.0358700207971511,0
peptide_nm_210,0.0003553688108675,0.0973880340860752,0.0973880340860752,0
peptide_nm_211,0.0003602179493456,0.0697090374664066,0.0621591188747257,0
peptide_nm_212,0.0013952397046952,0.1225868408961511,0.1225868408961511,0
peptide_nm_213,0.0008772305621986,0.0649722220756351,0.0770966427162186,0
peptide_nm_214,-1.1403028644407954e-06,0.2684836059388309,0.2684836059388309,0
peptide_nm_215,-0.0007499121488758,0.10713126828109,0.10713126828109,0
peptide_nm_216,-1.479085727808784e-06,0.0676618536512147,0.0676618536512147,0
