,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_31,8.765267647058826,0.810866666666667,1.0729437500000003,-1.378158064516129,-2.7814499999999995,0.1318529411764708,-0.9837545454545455,-0.1890125,1.1390419354838714,-0.5846766666666665,0.180514705882353,-0.3598,0.8049374999999998,-0.0417290322580645,-0.7779699999999999,5.745867647058824,1.655333333333333,0.6040562499999999,0.3368161290322581,0.917616666666667,-0.0127323529411764,0.9963757575757578,-0.5417062500000002,0.7772161290322581,-1.0879533333333335,3.443438235294118,-0.5548,-0.2321562499999999,-1.244496774193548,0.5104466666666667,0
peptide_nm_32,6.413025000000001,2.733027272727273,-0.7053,-1.7127888888888887,0.1444374999999997,-0.2790666666666666,-1.489727272727273,1.0871600000000003,-1.2864666666666666,-1.6519125000000008,0.4495666666666666,0.7826636363636361,1.42561,1.8478333333333328,0.7268125000000001,6.779733333333334,-0.8619272727272727,-1.51369,1.8555444444444444,-1.1875500000000003,-0.2614833333333333,2.2777909090909088,1.6562499999999996,-2.6091999999999995,-2.252225,3.00985,1.144190909090909,-0.7361599999999999,-0.5897888888888889,-0.6656875,0
peptide_nm_33,8.14845384615385,-0.1228583333333331,-3.792109090909092,-4.76234,3.511611111111111,3.087976923076923,0.2268833333333333,-0.7553999999999997,-0.0900900000000001,0.7132888888888889,0.2573615384615385,-1.148841666666667,-0.6693545454545454,1.19491,1.2918333333333334,2.566546153846154,0.6564333333333333,-0.3760636363636363,0.1594900000000001,0.7048777777777779,-0.3592923076923077,0.4945166666666665,0.9363363636363634,0.1723,1.5876333333333332,2.557346153846153,0.3424833333333332,0.4826090909090908,0.5056700000000001,-0.5426888888888889,0
peptide_nm_34,6.831014285714288,1.5273833333333335,-2.6997400000000007,-0.3822250000000003,-0.5336,2.3245571428571425,1.3757166666666665,0.9645399999999996,1.641325,4.0946,2.253257142857143,1.3594333333333328,-0.9683800000000004,0.2164500000000002,3.2343999999999995,4.0348428571428565,1.7684333333333333,3.4091,1.5669499999999998,2.7379,2.7116571428571423,0.6075166666666667,1.86982,0.2191499999999999,0.7171999999999997,2.2483142857142853,-0.0599666666666666,0.89786,0.3879499999999999,0.1026666666666666,0
peptide_nm_35,6.3347625,0.8185466666666666,0.02525,0.2829615384615384,1.7401583333333337,0.4880000000000002,-0.7592599999999998,0.2669642857142856,-0.9053846153846156,-1.7857083333333337,1.1914750000000005,-0.6677933333333333,1.183285714285714,-0.3676153846153849,-0.4817250000000002,4.232075,-1.69278,0.5440142857142859,-1.0049615384615385,-0.4147666666666665,-0.0272875000000002,1.8966533333333333,-0.1170857142857141,1.0200923076923076,-1.7205,4.4570625,-0.7791,-0.4375,1.276776923076923,-2.7024916666666665,0
peptide_nm_36,10.574166666666668,-5.350981818181819,2.4698400000000005,-2.8911111111111114,3.5541,1.2881166666666664,-1.348690909090909,-0.8599,0.6393555555555557,0.367025,0.8294000000000002,-1.5630000000000002,0.3498999999999999,-0.4640666666666667,2.038775,2.475633333333333,-0.8920909090909092,0.7211,-0.6789777777777778,0.6464749999999998,-0.0545083333333332,-0.753509090909091,0.10619,-0.9554555555555556,0.070575,1.9481333333333328,0.1266,-0.05251,0.4949333333333333,0.1838499999999999,0
peptide_nm_37,8.75397446808511,-0.2138804347826088,-1.8051777777777784,1.645188636363636,1.1557116279069763,0.7829234042553193,0.2509717391304349,-0.2588888888888889,-0.9031818181818184,-0.6850511627906978,1.4379319148936172,-1.325952173913043,-0.4401844444444443,1.347156818181818,-0.1811069767441859,5.837287234042552,1.768280434782609,0.5987177777777776,0.7605590909090907,1.568644186046512,0.3131404255319148,0.0966304347826088,0.4687,0.2451227272727272,-0.3543837209302324,2.1439978723404263,-0.2733760869565216,0.3205644444444444,0.1686704545454545,0.1494255813953488,0
peptide_nm_38,6.252233333333334,1.0899923076923077,1.065584,0.2870999999999997,-0.1428521739130434,0.1666703703703703,-0.9895730769230768,-1.86616,-0.8877958333333335,-0.9399695652173912,0.529577777777778,2.298592307692308,0.410552,-1.4483125,-0.1734347826086955,2.922188888888889,0.8822192307692309,0.941516,0.7660166666666665,-0.0513565217391304,-0.8553777777777777,0.1706538461538462,0.012992,0.1639333333333333,0.617104347826087,3.899637037037037,-0.1290038461538462,-0.0929839999999999,-0.9690041666666666,-0.9614521739130434,0
peptide_nm_39,8.859673684210527,0.6530666666666667,-4.132899999999999,-1.5778374999999998,2.07024,2.6067421052631583,1.4466,0.9311352941176472,-1.07501875,-0.5282600000000002,1.6941421052631582,0.1046611111111111,-1.6870411764705882,0.90836875,-0.8858266666666668,3.947547368421053,1.3613722222222222,-0.097735294117647,-0.5824437499999999,0.2390866666666667,0.9285842105263156,-0.1908111111111111,-0.9117529411764704,-0.06855625,0.5903599999999999,1.6842684210526315,-0.5343277777777778,-0.7488705882352941,0.19598125,0.4876,0
peptide_nm_40,6.9315923076923065,3.131116,-0.0376000000000001,-0.3150608695652177,1.2746545454545457,-0.5471384615384616,-1.633764,-1.855670833333333,-1.1855434782608696,-0.2683409090909091,1.2713807692307697,1.047648,0.6254208333333334,0.1839000000000001,0.6202954545454548,4.838707692307694,-0.912004,1.6157083333333335,-0.3931739130434785,0.1548681818181817,0.4255653846153844,0.615448,-0.8964041666666666,-0.5934130434782611,-0.992490909090909,2.034592307692308,0.502,0.3897833333333332,0.1226652173913043,0.4042272727272726,0
