,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,y
peptide_nm_48,2.080872268963555,0.0,1.0404361344817774,1.0404361344817774,0.0,0.0,0.0,1.0404361344817774,0.0,1.0404361344817774,1.0404361344817774,2.080872268963555,0.0,0.0,0.0,2.080872268963555,1.0404361344817774,0.0,0.0,1.0404361344817774,-0.0178963006376946,-0.0133661422648067,-0.0131981066854983,-0.0046100592986554,6.026305316774804e-05,0.0085742113517101,0
peptide_nm_49,1.9479130040309776,1.9479130040309776,0.9739565020154888,1.9479130040309776,0.0,0.0,3.895826008061956,0.9739565020154888,0.0,0.9739565020154888,0.9739565020154888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9479130040309776,0.0129003397095697,0.0260908083066252,-0.0017381640419436,0.0135087039886497,-0.0188575511949718,-0.0058606387834181,0
peptide_nm_50,1.0246240176161043,2.0492480352322087,0.0,2.0492480352322087,1.0246240176161043,1.0246240176161043,1.0246240176161043,3.073872052848313,0.0,0.0,3.073872052848313,1.0246240176161043,0.0,1.0246240176161043,2.0492480352322087,1.0246240176161043,2.0492480352322087,0.0,1.0246240176161043,0.0,-0.0029057005850864,-0.0043565913417961,0.0035316979366002,0.0023762233520124,-0.013537692695211,-0.0097319542826234,0
peptide_nm_51,2.089688506334739,4.179377012669478,2.089688506334739,0.0,0.0,5.224221265836847,2.089688506334739,1.0448442531673694,1.0448442531673694,1.0448442531673694,4.179377012669478,0.0,0.0,2.089688506334739,0.0,0.0,3.1345327595021084,0.0,0.0,0.0,-0.0047062559155713,-0.0006982412240257,-0.0152295042379592,-0.0067230818033817,-0.0092400556209368,-0.0082471143654944,0
peptide_nm_52,2.069836424878124,1.034918212439062,0.0,1.034918212439062,0.0,0.0,1.034918212439062,2.069836424878124,0.0,4.1396728497562485,3.104754637317187,2.069836424878124,0.0,2.069836424878124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0173150020731081,-0.0157050192750871,-0.0066704117359104,-0.0144218888568444,0.0173240203033545,0.0018700891985333,0
peptide_nm_53,0.9965039984671372,0.9965039984671372,0.0,0.0,0.9965039984671372,0.0,1.9930079969342744,0.9965039984671372,2.9895119954014118,0.9965039984671372,2.9895119954014118,0.0,0.9965039984671372,1.9930079969342744,0.9965039984671372,1.9930079969342744,1.9930079969342744,0.0,0.9965039984671372,1.9930079969342744,0.0104091710018997,0.0115060166383232,-0.006917867722792,-0.0020511043432173,-0.0003210745610745,-0.0091291394802759,0
peptide_nm_54,4.118704105346043,0.0,0.0,0.0,0.0,0.0,1.0296760263365108,0.0,0.0,1.0296760263365108,2.0593520526730216,2.0593520526730216,0.0,1.0296760263365108,0.0,1.0296760263365108,0.0,0.0,0.0,0.0,-0.0066303704481927,-0.0080773518294931,0.002607886562696,-0.0016093828030896,-0.0047169673795126,-0.0112498404389187,0
peptide_nm_55,3.0334102176062467,0.0,0.0,2.0222734784041645,0.0,0.0,0.0,1.0111367392020822,1.0111367392020822,0.0,3.0334102176062467,0.0,0.0,1.0111367392020822,2.0222734784041645,1.0111367392020822,2.0222734784041645,0.0,0.0,1.0111367392020822,0.0028720635379873,-0.0019135007762409,-0.0006410315374323,-0.0111592761770285,0.0043346449119922,-0.0046296391613598,0
peptide_nm_56,2.0829898077238065,2.0829898077238065,0.0,2.0829898077238065,0.0,2.0829898077238065,2.0829898077238065,3.12448471158571,0.0,3.12448471158571,2.0829898077238065,0.0,0.0,2.0829898077238065,1.0414949038619032,2.0829898077238065,2.0829898077238065,1.0414949038619032,0.0,3.12448471158571,0.0054072578915079,1.230623204662105e-05,-0.0175659714329942,-0.0138251137234122,-0.0087006314567289,-0.0068227513723225,0
peptide_nm_57,1.037399326719705,0.0,3.1121979801591158,1.037399326719705,0.0,0.0,0.0,2.07479865343941,0.0,1.037399326719705,2.07479865343941,0.0,0.0,0.0,1.037399326719705,1.037399326719705,0.0,0.0,0.0,0.0,-0.006721816327619,-0.0088744602105702,0.000511287093005,0.0058977040338428,-0.0186233774474922,-0.0095886638608714,0
peptide_nm_58,1.0091042387784714,1.0091042387784714,0.0,2.018208477556943,2.018208477556943,0.0,1.0091042387784714,2.018208477556943,1.0091042387784714,0.0,3.0273127163354148,3.0273127163354148,0.0,0.0,0.0,2.018208477556943,2.018208477556943,0.0,2.018208477556943,4.036416955113886,-0.0034805419325033,-0.0044123011376312,0.0031798963788818,0.0084153513803464,-0.0115230899308729,-0.0012835535366921,0
peptide_nm_59,5.818941210256517,0.9698235350427528,0.9698235350427528,0.0,0.0,0.9698235350427528,0.0,0.0,0.0,0.9698235350427528,2.9094706051282584,0.0,0.0,0.9698235350427528,0.9698235350427528,0.9698235350427528,0.0,0.0,0.9698235350427528,0.9698235350427528,0.0167347787565863,0.0094284793375824,0.0017234929656419,0.003774607648582,-0.0017914113551028,0.0003065176039572,0
peptide_nm_60,3.0512924816285505,1.0170974938761834,1.0170974938761834,3.0512924816285505,2.034194987752367,0.0,1.0170974938761834,1.0170974938761834,2.034194987752367,1.0170974938761834,5.085487469380918,2.034194987752367,1.0170974938761834,1.0170974938761834,1.0170974938761834,2.034194987752367,1.0170974938761834,0.0,0.0,4.068389975504734,-0.012575739353624,-0.0044728934401934,0.0068233516944398,-0.0023708036071057,0.0005152426539189,-0.0050166518236191,0
