,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,y
peptide_nm_11,0.4166666666666667,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.5,0.0,0.5,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,0.25,0.4166666666666667,0.0833333333333333,0.0833333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.25,0.0833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4166666666666667,0.25,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.25,0
peptide_nm_12,0.28,0.16,0.12,0.4,0.24,0.12,0.12,0.24,0.12,0.28,0.28,0.0,0.4,0.2,0.04,0.36,0.16,0.12,0.16,0.36,0.24,0.2,0.36,0.08,0.12,0.16,0.36,0.2,0.36,0.08,0.16,0.04,0.2,0.16,0.4,0.16,0.32,0.36,0.12,0
peptide_nm_13,0.3928571428571428,0.1428571428571428,0.0357142857142857,0.2857142857142857,0.1785714285714285,0.0,0.2857142857142857,0.1785714285714285,0.0,0.4642857142857143,0.1428571428571428,0.0357142857142857,0.2857142857142857,0.0357142857142857,0.0,0.3214285714285714,0.1428571428571428,0.0357142857142857,0.25,0.2857142857142857,0.0357142857142857,0.1428571428571428,0.2142857142857142,0.1071428571428571,0.0357142857142857,0.1428571428571428,0.3214285714285714,0.2142857142857142,0.2142857142857142,0.1071428571428571,0.25,0.0357142857142857,0.25,0.25,0.2142857142857142,0.0714285714285714,0.1785714285714285,0.2857142857142857,0.3571428571428571,0
peptide_nm_14,0.5,0.1666666666666666,0.2222222222222222,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.3888888888888889,0.3333333333333333,0.0555555555555555,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.6666666666666666,0.0,0.0,0.5,0.1666666666666666,0.2222222222222222,0.0555555555555555,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.0,0.2222222222222222,0.1666666666666666,0.5,0.3888888888888889,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1666666666666666,0.3888888888888889,0.0555555555555555,0.5,0.2777777777777778,0.1666666666666666,0
peptide_nm_15,0.0909090909090909,0.0454545454545454,0.2272727272727272,0.3181818181818182,0.2272727272727272,0.1363636363636363,0.2727272727272727,0.2727272727272727,0.0909090909090909,0.2727272727272727,0.1363636363636363,0.1363636363636363,0.3636363636363636,0.0454545454545454,0.0454545454545454,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.0454545454545454,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.2272727272727272,0.0454545454545454,0.1363636363636363,0.3181818181818182,0.2272727272727272,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.2272727272727272,0.2272727272727272,0.1363636363636363,0.0454545454545454,0.3181818181818182,0.0909090909090909,0
peptide_nm_16,0.3888888888888889,0.2222222222222222,0.1111111111111111,0.0555555555555555,0.4444444444444444,0.1666666666666666,0.0555555555555555,0.4444444444444444,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2777777777777778,0.2777777777777778,0.0555555555555555,0.2222222222222222,0.3888888888888889,0.0555555555555555,0.2777777777777778,0.0555555555555555,0.1666666666666666,0.0555555555555555,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.0,0.2222222222222222,0.0,0.0,0.6111111111111112,0.3888888888888889,0.2777777777777778,0.0555555555555555,0.3333333333333333,0.1111111111111111,0.2777777777777778,0
peptide_nm_17,0.2054794520547945,0.0821917808219178,0.1643835616438356,0.2054794520547945,0.2054794520547945,0.2602739726027397,0.2054794520547945,0.2602739726027397,0.1780821917808219,0.1917808219178082,0.2054794520547945,0.0410958904109589,0.2465753424657534,0.0821917808219178,0.0547945205479452,0.2602739726027397,0.1095890410958904,0.136986301369863,0.2465753424657534,0.1917808219178082,0.136986301369863,0.1780821917808219,0.1917808219178082,0.1643835616438356,0.1506849315068493,0.0958904109589041,0.2191780821917808,0.2465753424657534,0.1506849315068493,0.2054794520547945,0.2054794520547945,0.0136986301369863,0.0410958904109589,0.1506849315068493,0.2602739726027397,0.1506849315068493,0.1232876712328767,0.273972602739726,0.1643835616438356,0
peptide_nm_18,0.3333333333333333,0.25,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.3333333333333333,0.4166666666666667,0.0833333333333333,0.0,0.25,0.0833333333333333,0.3333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.25,0.3333333333333333,0.4166666666666667,0.0,0.1666666666666666,0.0,0.0,0.5,0.0833333333333333,0.25,0.0833333333333333,0.3333333333333333,0.1666666666666666,0.25,0
peptide_nm_19,0.0555555555555555,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0555555555555555,0.0555555555555555,0.2777777777777778,0.2777777777777778,0.1666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.2777777777777778,0.0555555555555555,0.2777777777777778,0.0,0.3333333333333333,0.2777777777777778,0.0555555555555555,0.0555555555555555,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0
peptide_nm_20,0.3333333333333333,0.2222222222222222,0.1666666666666666,0.4444444444444444,0.2222222222222222,0.0555555555555555,0.3333333333333333,0.2222222222222222,0.0555555555555555,0.2777777777777778,0.1666666666666666,0.1666666666666666,0.5555555555555556,0.0,0.0,0.3333333333333333,0.2777777777777778,0.1111111111111111,0.1666666666666666,0.3888888888888889,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.1666666666666666,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1666666666666666,0.2777777777777778,0.0555555555555555,0.2777777777777778,0.1666666666666666,0.3888888888888889,0.0555555555555555,0.5,0.1111111111111111,0.0555555555555555,0
