,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_41,-0.0431123452969503,-0.1521048767406189,-0.1198373891827478,0.276625530157108,0.0473530346736732,0.1658291840332967,0.1782314004768276,0.0896440951060355,-0.2246488079685626,0.2759812040548757,-0.0110880018510455,0.059728609213405,0.2311588668545292,0.1163600561562163,-0.1330552263569566,-0.0143860184257949,0.1008534006212781,-0.1588824312022967,-0.4284324653332063,0.2193492347245435,0.0327549528658566,0.0198563918047984,-0.2228694671814632,-0.0486341912658964,0
peptide_nm_43,-0.3848406612223312,-0.2123081534363781,0.093662222888297,-0.4970773989995665,-0.0078176517996196,0.2077031947719188,-0.2312952431716814,0.0017741728427375,0.0537954634496651,0.0989266905634018,-0.313510960374976,0.0158296205055805,-0.1742483197736116,-0.0742412451361868,0.1299610894941634,-0.2924315962602392,-0.0616579835121944,0.1905805223522839,-0.3098551067678834,-0.0967453970615585,0.4464075382803298,-0.0567503635061524,0.0229649080926235,-0.0585820004774409,0
peptide_nm_44,-0.1989590097517869,-0.526524215520667,0.1850793384426139,-0.2149868449413753,-0.523182522222836,0.1824168455132281,-0.2127876431509436,0.20965713320572,-0.1826578088053148,0.3956873254119045,0.0422979974245829,0.2048299825078483,-0.1284677802973273,0.3383057234827667,-0.2086048520059668,-0.2025520088719049,0.1839190037812488,-0.0916959501890623,0.3109376795435981,0.0539636238846945,0.1842880523731587,-0.2517378505396891,-0.2075175592625109,0.00684811237928,0
peptide_nm_45,-0.2426842837923189,-0.1931602909611481,0.0896749999477502,-0.1442728574415781,0.1126894000211814,-0.0987336789772987,0.0365716679575679,-0.2415970678055975,-0.2579112193884468,-0.1771080945210566,-0.2484101893443892,0.4079920047138312,-0.0313034943966402,-0.2786308703121826,-0.1691195447785958,-0.023355085515761,-0.2502028733272776,-0.2681590293213201,-0.0192815481690299,-0.1451671671506511,0.0399588655470717,-0.063715401633016,0.0485893374733332,0.1238589212982939,0
peptide_nm_46,-0.0463345955901826,0.0172697220255276,-0.2537801528872211,-0.0777435471766932,0.0738191766723778,0.0638275937468132,0.0728595778071515,-0.0117094690260247,-0.0711317798228911,-0.1266706521023694,-0.0114776721688035,-0.1845071386615192,0.1005821709906182,-0.1072088465190687,-0.0126005680731281,0.0123955094761345,-0.0432420549272059,-0.10461727677209,-0.0463929278387783,-0.056375946735372,-0.0031815825503402,0.3678388208402437,0.0936759445848122,-0.1391883248118318,0
peptide_nm_47,0.0586702710495095,-0.0693645377827518,0.0711454382989412,0.0134210155386725,-0.2245015793538374,-0.1968646393963839,-0.1251649148315161,-0.0743085569653166,-0.0045705639958971,0.2757957512091462,0.185147395307445,0.0155985366869549,-0.1553733774971162,-0.043830010661408,0.0243206656839273,-0.1304550659060375,-0.0526826739914975,0.0436468043482588,-0.1013778669296217,-0.0581357535315632,0.110361640159887,0.0854619325381319,0.0836392988387814,0.0484932533161557,0
peptide_nm_48,-0.3782053917467278,-0.0787087793196964,-0.0731297423617322,-0.4415662539174184,-0.2430802403564123,0.1522642017979166,-0.1632711385558173,-0.5858589414125972,-0.1732805503244672,-0.1738732268118083,-0.2734409895656892,-0.1423063920276898,-0.1613475177304965,-0.6861011329096436,-0.0750759878419452,-0.1585940741004765,-0.5621156361022521,-0.198707484205555,-0.3466840403172805,-0.1348205935435326,0.0987077127296152,-0.1845007256826317,0.1268860642206855,-0.3684188052137147,0
peptide_nm_49,-0.0191669247649109,-0.0760333892833842,-0.3823160714186143,-0.192602012229287,0.3393762854845952,-0.4899319200130427,-0.0425361906216871,0.360302050906609,0.1004755143749352,-0.2267562405290966,0.0870134164277228,-0.0810791598135537,0.132644591611479,0.119848628192999,0.2224554253693327,0.0295968845060801,0.2209629816386412,0.2025877073014152,-0.0365064571961123,-0.1559807520398652,0.0499472568438085,-0.2997771249804047,-0.1338311427188804,-0.1154540836040845,0
peptide_nm_50,-0.2834928644286884,-0.0061536808927144,-0.0487344147465575,-0.2910863829872556,0.0385750653940704,-0.1938244751342979,-0.4916220300468711,0.2874541217536754,-0.2202840371110523,-0.2789871803011948,-0.3959844888550148,0.6054076618000697,-0.48372030212437,0.3048112654019166,-0.1712662254109752,-0.4942639942652038,0.3354763610332514,-0.1075860264118405,-0.2328557955719223,0.1413392015089594,0.3710352586905804,0.0676574742662127,-0.0997676374939729,0.0735622924274174,0
peptide_nm_51,-0.2593357753491663,-0.1560600560420699,0.0315471408673908,-0.1543899854252785,-0.0953689033294392,-0.0029932895553446,0.2426922257081071,-0.2103115918681436,-0.2452887186199458,-0.0343703324910888,-0.1308666202523886,-0.0421776172869764,0.2216739698788525,-0.1992053614169459,-0.2920057443752992,0.2045497637478283,-0.1095634818571388,-0.234001664941038,-0.263123062815603,-0.1430314472193756,0.0125849560386212,0.1414147346405002,-0.0286710481873451,-0.0105565944466336,0
