,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_23,0.4561999999999999,0.2344117647058823,0.2085375,0.2021933333333333,0.0608142857142857,-0.2131777777777777,-0.2478470588235294,0.0465875,-0.0365066666666666,0.0498499999999999,0.2777722222222222,0.3927235294117647,0.3077312499999999,0.3144599999999999,0.2153428571428571,0.4451888888888889,0.1757647058823529,0.0830624999999999,0.0409799999999999,-0.0884214285714285,-0.1898277777777778,-0.1477352941176471,-0.24673125,-0.2713666666666666,-0.0956142857142856,0.5603555555555555,0.3675176470588234,0.3561,0.3723866666666667,0.3019142857142856,0
peptide_nm_24,0.4964277777777777,0.1379411764705882,0.0955,0.0319533333333333,0.0551,-0.2208666666666666,-0.2490294117647058,-0.13510625,-0.16364,-0.2944928571428572,0.2366888888888889,0.2205882352941176,0.1649687499999999,0.1198533333333333,0.0978428571428571,0.4718166666666666,0.2911882352941176,0.24461875,0.2601933333333333,0.2744571428571429,-0.2573055555555555,-0.2536176470588235,-0.2096062499999999,-0.2452866666666666,-0.2245499999999999,0.3554388888888888,0.1965529411764706,0.1625875,0.09514,0.1362142857142857,0
peptide_nm_25,0.4254399999999999,-0.1369999999999999,-0.0040333333333333,0.4468,-0.4170999999999999,0.1594199999999999,0.067675,-0.4104333333333333,0.5351,-0.2838,-0.0756,0.3081,-0.442,0.1288,0.0688,0.4953999999999999,-0.0675,-0.0949,-0.1471999999999999,0.4818,0.11616,0.111,0.0177333333333333,-0.4032,-0.1168,0.46656,-0.2176,-0.2021333333333333,0.3007999999999999,0.096,0
peptide_nm_26,0.4083857142857143,-0.0803846153846153,-0.1545083333333333,0.0465454545454545,0.01187,-0.0642214285714285,-0.0525461538461538,-0.0519166666666666,0.2256545454545454,0.13704,0.0220214285714285,-0.1165538461538461,-0.19785,0.1107545454545454,0.0581299999999999,0.6190142857142857,-0.3156153846153846,0.1643166666666666,-0.2178727272727272,0.04137,0.10665,-0.0579076923076923,0.0534166666666666,-0.0296636363636363,-0.02852,0.4222714285714285,0.2716923076923077,0.260975,0.3361818181818182,0.26134,0
peptide_nm_27,0.3644285714285714,0.0029384615384615,0.135625,0.1663181818181817,0.0066899999999999,-0.2182357142857142,-0.0266692307692307,-0.2951583333333333,-0.0607636363636363,-0.17375,0.1718785714285714,0.1391384615384615,0.2463916666666666,0.1120818181818181,0.0336599999999999,0.5652571428571428,0.0422,0.390825,0.1326181818181817,0.2212099999999999,-0.1392142857142857,-0.1921692307692307,-0.0003166666666666,-0.2098181818181818,0.12707,0.5286071428571429,0.1311923076923076,0.2590916666666666,0.0674,0.3179099999999999,0
peptide_nm_28,0.4792388888888888,0.3161294117647058,0.2933125,0.3222266666666667,0.3760571428571428,-0.3838,-0.1934117647058823,-0.2002,-0.2507266666666666,-0.1942785714285714,0.2326333333333333,0.2102235294117646,0.23585,0.37708,0.2489142857142857,0.4224833333333333,0.166435294117647,0.0414499999999999,0.2022266666666666,0.1748142857142857,-0.1682055555555556,-0.1281588235294118,-0.13818125,-0.3604533333333332,-0.1966642857142857,0.3928111111111111,0.1047529411764705,0.2463,0.15598,0.2097142857142857,0
peptide_nm_29,0.2895611111111111,0.0904470588235294,0.00786875,0.0561533333333333,0.0647785714285714,-0.1186722222222222,-0.1178588235294117,0.01569375,0.0520999999999999,-0.0386785714285714,-0.0065166666666666,-0.0136529411764705,0.1148625,0.0830133333333333,-0.0446071428571428,0.3496166666666667,-0.0655999999999999,-0.0139875,0.0242866666666666,-0.0437928571428571,0.0184666666666666,-0.1116294117647058,-0.01345625,0.0183133333333333,0.1097285714285714,0.4501222222222223,-0.0406705882352941,-0.1478,-0.2114133333333333,0.0518571428571428,0
peptide_nm_30,0.29784375,0.0203933333333333,-0.0064214285714285,0.0952615384615385,-0.0244583333333333,-0.0630812499999999,-0.0526533333333333,-0.0318714285714286,-0.0845307692307692,0.012025,0.113325,-0.0190799999999999,0.0358357142857142,0.0405923076923076,-0.0501833333333333,0.3240375,0.0708466666666666,0.0147285714285714,-0.0394692307692307,0.1039249999999999,-0.0701875,-0.0650533333333333,-0.0437571428571428,-0.1923307692307692,-0.1279249999999999,0.4919062499999999,0.2290399999999999,0.0546571428571428,0.0542923076923076,-0.0052916666666666,0
peptide_nm_31,0.4254588235294118,0.1869515151515151,0.149640625,0.1186129032258064,0.17229,-0.2394794117647058,-0.1128939393939394,-0.1990031249999999,-0.1617516129032258,-0.16468,0.1811,0.1755636363636363,0.136253125,0.195316129032258,0.2312433333333332,0.4506882352941176,0.0993151515151515,0.1762249999999999,0.1237935483870967,0.15255,-0.1201794117647058,-0.1356151515151515,-0.1300624999999999,-0.2351064516129032,-0.1120366666666666,0.4588000000000001,0.1648060606060606,0.1413562499999999,0.1184935483870967,0.2661833333333333,0
peptide_nm_32,0.34925,0.0107545454545454,0.05115,0.0041555555555555,0.1005124999999999,-0.1015749999999999,-0.0644090909090909,-0.05607,-0.0281555555555555,-0.0431,0.1163833333333333,0.0606272727272727,-0.0013299999999999,0.2046333333333333,0.0284874999999999,0.217825,0.0701181818181818,-0.07904,-0.0314111111111111,0.0698625,-0.0909666666666666,-0.1373454545454545,-0.08341,-0.0150888888888888,-0.123775,0.2968916666666666,0.0995818181818182,0.1572999999999999,0.1467333333333333,0.1608,0
