,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_11,0.0,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.3076923076923077,0.0,0
peptide_nm_12,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.0769230769230769,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0384615384615384,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.1153846153846153,0.0,0.1153846153846153,0.1153846153846153,0.0,0.0,0.0,0
peptide_nm_13,0.0344827586206896,0.0689655172413793,0.0,0.0689655172413793,0.0,0.0689655172413793,0.0689655172413793,0.1379310344827586,0.0689655172413793,0.0,0.0344827586206896,0.1034482758620689,0.0,0.0344827586206896,0.0344827586206896,0.1034482758620689,0.1379310344827586,0.0,0.0,0.0344827586206896,0
peptide_nm_14,0.2105263157894736,0.0,0.1052631578947368,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.1578947368421052,0.1052631578947368,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0526315789473684,0
peptide_nm_15,0.1304347826086956,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,0.2608695652173913,0.0869565217391304,0.0,0.0,0.0869565217391304,0.0,0.0434782608695652,0.1304347826086956,0.0,0.0869565217391304,0.0,0.0,0.0869565217391304,0
peptide_nm_16,0.0,0.0,0.0,0.1052631578947368,0.0,0.0526315789473684,0.2105263157894736,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.1578947368421052,0.0,0.0,0.0,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0
peptide_nm_17,0.1081081081081081,0.0,0.0675675675675675,0.0135135135135135,0.0,0.0135135135135135,0.027027027027027,0.054054054054054,0.027027027027027,0.027027027027027,0.027027027027027,0.1216216216216216,0.027027027027027,0.027027027027027,0.1621621621621621,0.1486486486486486,0.0405405405405405,0.0135135135135135,0.0135135135135135,0.081081081081081,0
peptide_nm_18,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0
peptide_nm_19,0.2105263157894736,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,0.1578947368421052,0.1052631578947368,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.1052631578947368,0
peptide_nm_20,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.0,0.0,0.1578947368421052,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.1578947368421052,0
peptide_nm_21,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,0.0,0.0,0.1111111111111111,0.1666666666666666,0.0,0.0,0.0555555555555555,0
peptide_nm_22,0.0526315789473684,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0,0.3157894736842105,0.0,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.1052631578947368,0
peptide_nm_23,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.0555555555555555,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0555555555555555,0.1111111111111111,0
peptide_nm_24,0.1111111111111111,0.0555555555555555,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0555555555555555,0.0,0.1666666666666666,0.0555555555555555,0.0,0.0555555555555555,0.0555555555555555,0
peptide_nm_25,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0
peptide_nm_26,0.0,0.0,0.0714285714285714,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0
peptide_nm_27,0.0,0.0,0.0,0.1428571428571428,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0
