,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
peptide_nm_71,0.4545454545454545,0.0909090909090909,0.0,0.0,0.4545454545454545,0
peptide_nm_72,0.5555555555555556,0.0,0.1666666666666666,0.1111111111111111,0.1666666666666666,0
peptide_nm_73,0.3333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.2777777777777778,0
peptide_nm_74,0.2142857142857142,0.2142857142857142,0.1428571428571428,0.0714285714285714,0.3571428571428571,0
peptide_nm_75,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.4545454545454545,0
peptide_nm_76,0.2777777777777778,0.2222222222222222,0.0555555555555555,0.1666666666666666,0.2777777777777778,0
peptide_nm_77,0.4615384615384615,0.0769230769230769,0.2307692307692307,0.0384615384615384,0.1923076923076923,0
peptide_nm_78,0.4761904761904761,0.0952380952380952,0.1428571428571428,0.1428571428571428,0.1428571428571428,0
peptide_nm_79,0.4193548387096774,0.064516129032258,0.2580645161290322,0.0967741935483871,0.1612903225806451,0
peptide_nm_80,0.6666666666666666,0.0555555555555555,0.0555555555555555,0.0,0.2222222222222222,0
peptide_nm_81,0.4035087719298245,0.087719298245614,0.1578947368421052,0.1228070175438596,0.2280701754385964,0
peptide_nm_82,0.2758620689655172,0.1379310344827586,0.1724137931034483,0.0689655172413793,0.3448275862068966,0
peptide_nm_83,0.5185185185185185,0.074074074074074,0.1481481481481481,0.1111111111111111,0.1481481481481481,0
peptide_nm_84,0.3333333333333333,0.0952380952380952,0.1904761904761904,0.1428571428571428,0.238095238095238,0
peptide_nm_85,0.238095238095238,0.1428571428571428,0.0952380952380952,0.1428571428571428,0.3809523809523809,0
peptide_nm_86,0.4482758620689655,0.0,0.0689655172413793,0.2068965517241379,0.2758620689655172,0
peptide_nm_87,0.3333333333333333,0.1212121212121212,0.2121212121212121,0.0909090909090909,0.2424242424242424,0
peptide_nm_88,0.5384615384615384,0.0,0.1538461538461538,0.1538461538461538,0.1538461538461538,0
peptide_nm_89,0.5833333333333334,0.0,0.0833333333333333,0.0,0.3333333333333333,0
peptide_nm_90,0.3846153846153846,0.0,0.1538461538461538,0.1538461538461538,0.3076923076923077,0
peptide_nm_91,0.4736842105263157,0.0,0.0526315789473684,0.1578947368421052,0.3157894736842105,0
peptide_nm_92,0.4444444444444444,0.0555555555555555,0.2222222222222222,0.1111111111111111,0.1666666666666666,0
peptide_nm_93,0.8095238095238095,0.0476190476190476,0.0476190476190476,0.0,0.0952380952380952,0
peptide_nm_94,0.25,0.1428571428571428,0.2142857142857142,0.3214285714285714,0.0714285714285714,0
peptide_nm_95,0.4782608695652174,0.0434782608695652,0.1304347826086956,0.0869565217391304,0.2608695652173913,0
peptide_nm_96,0.3076923076923077,0.0,0.2307692307692307,0.0,0.4615384615384615,0
peptide_nm_97,0.5,0.0625,0.25,0.1875,0.0,0
peptide_nm_98,0.7142857142857143,0.0476190476190476,0.0476190476190476,0.1428571428571428,0.0476190476190476,0
peptide_nm_99,0.3571428571428571,0.1428571428571428,0.0714285714285714,0.1428571428571428,0.2857142857142857,0
peptide_nm_100,0.3846153846153846,0.3076923076923077,0.0,0.0769230769230769,0.2307692307692307,0
peptide_nm_101,0.3214285714285714,0.0,0.25,0.1428571428571428,0.2857142857142857,0
